timestamp;accX;accY;accZ;gyroX;gyroY;gyroZ
813059;-5.0;-1.0;2040.0;3.0;4.0;-1.0
813063;-1.0;5.0;2044.0;-1.0;4.0;-2.0
813066;-5.0;-3.0;2045.0;2.0;-1.0;-1.0
813070;-14.0;7.0;2053.0;1.0;-2.0;0.0
813073;-14.0;-3.0;2053.0;2.0;-3.0;-4.0
813077;1.0;0.0;2047.0;2.0;-3.0;2.0
813080;1.0;5.0;2040.0;-4.0;3.0;-3.0
813084;1.0;5.0;2047.0;0.0;1.0;1.0
813087;-6.0;-13.0;2045.0;-2.0;1.0;-2.0
813091;10.0;-1.0;2037.0;1.0;0.0;-3.0
813094;-1.0;-2.0;2041.0;-3.0;-2.0;0.0
813098;-14.0;0.0;2050.0;0.0;0.0;1.0
813101;-4.0;3.0;2047.0;0.0;3.0;-4.0
813105;-7.0;0.0;2057.0;-3.0;3.0;-5.0
813108;4.0;1.0;2043.0;1.0;1.0;-2.0
813112;6.0;9.0;2043.0;2.0;2.0;1.0
813115;6.0;5.0;2040.0;-3.0;0.0;2.0
813119;10.0;-8.0;2034.0;0.0;-3.0;-3.0
813122;-2.0;-11.0;2047.0;-3.0;-1.0;1.0
813126;-1.0;-1.0;2044.0;-1.0;0.0;0.0
813129;2.0;3.0;2044.0;-4.0;2.0;0.0
813133;8.0;-6.0;2053.0;-1.0;1.0;-4.0
813136;13.0;-3.0;2030.0;-4.0;1.0;-2.0
813140;-3.0;-2.0;2050.0;1.0;4.0;-3.0
813143;-4.0;-3.0;2040.0;-3.0;2.0;-1.0
813147;-6.0;-9.0;2045.0;-5.0;1.0;-2.0
813150;0.0;1.0;2049.0;0.0;-1.0;-3.0
813154;0.0;-5.0;2042.0;-3.0;-2.0;0.0
813157;5.0;3.0;2038.0;2.0;2.0;3.0
813161;0.0;3.0;2049.0;-1.0;4.0;0.0
813164;-6.0;-6.0;2037.0;-2.0;1.0;-6.0
813168;3.0;6.0;2046.0;0.0;1.0;-2.0
813171;-6.0;-5.0;2045.0;2.0;1.0;-3.0
813175;-2.0;3.0;2047.0;2.0;3.0;-4.0
813178;4.0;0.0;2043.0;-2.0;3.0;-6.0
813182;0.0;17.0;2040.0;4.0;4.0;-1.0
813185;6.0;3.0;2046.0;-2.0;-2.0;-2.0
813189;0.0;-1.0;2047.0;0.0;1.0;1.0
813192;-6.0;2.0;2045.0;0.0;3.0;-1.0
813196;-4.0;7.0;2045.0;-4.0;-2.0;0.0
813199;-8.0;-1.0;2045.0;-3.0;0.0;1.0
813203;-3.0;7.0;2041.0;3.0;1.0;-1.0
813206;5.0;0.0;2036.0;-2.0;-1.0;-3.0
813210;1.0;-3.0;2042.0;2.0;-2.0;-3.0
813213;5.0;0.0;2050.0;1.0;-2.0;0.0
813217;10.0;-5.0;2049.0;0.0;1.0;-3.0
813220;15.0;5.0;2050.0;1.0;0.0;0.0
813224;8.0;16.0;2048.0;-3.0;-2.0;-2.0
813227;-6.0;6.0;2044.0;0.0;2.0;-2.0
813231;-8.0;5.0;2052.0;-4.0;3.0;0.0
813234;-9.0;-1.0;2043.0;-1.0;3.0;-2.0
813238;4.0;-5.0;2047.0;-1.0;0.0;-5.0
813241;3.0;3.0;2047.0;4.0;0.0;-1.0
813245;-3.0;6.0;2045.0;-3.0;1.0;1.0
813248;-5.0;4.0;2045.0;0.0;-1.0;-1.0
813252;0.0;2.0;2041.0;-1.0;0.0;-2.0
813255;-7.0;0.0;2046.0;-1.0;0.0;-3.0
