timestamp;accX;accY;accZ;gyroX;gyroY;gyroZ
866373;-1.0;-3.0;2037.0;1.0;1.0;-2.0
866376;5.0;0.0;2035.0;3.0;6.0;-3.0
866380;8.0;0.0;2048.0;1.0;3.0;0.0
866383;3.0;0.0;2051.0;2.0;0.0;-2.0
866387;0.0;-1.0;2039.0;1.0;-1.0;0.0
866390;-5.0;3.0;2048.0;5.0;-1.0;0.0
866394;-1.0;0.0;2045.0;3.0;2.0;0.0
866397;-8.0;9.0;2048.0;5.0;3.0;-3.0
866401;4.0;2.0;2052.0;3.0;1.0;-3.0
866404;0.0;-7.0;2038.0;7.0;1.0;-5.0
866408;-7.0;5.0;2042.0;10.0;4.0;-3.0
866411;7.0;-9.0;2057.0;1.0;4.0;-5.0
866415;3.0;6.0;2054.0;9.0;0.0;-2.0
866418;11.0;-4.0;2045.0;12.0;1.0;-1.0
866422;5.0;-3.0;2046.0;10.0;6.0;-4.0
866425;11.0;-8.0;2041.0;16.0;5.0;-4.0
866429;2.0;-1.0;2058.0;14.0;4.0;-4.0
866432;13.0;31.0;2049.0;10.0;7.0;3.0
866436;-19.0;-39.0;2034.0;-8.0;1.0;-3.0
866439;-6.0;-9.0;2064.0;9.0;1.0;0.0
866443;-12.0;3.0;2045.0;21.0;5.0;2.0
866446;3.0;4.0;2034.0;19.0;6.0;-6.0
866450;5.0;17.0;2045.0;10.0;4.0;-2.0
866453;-2.0;21.0;2046.0;2.0;3.0;-3.0
866457;11.0;17.0;2046.0;1.0;3.0;-2.0
866460;-2.0;13.0;2045.0;-5.0;1.0;-1.0
866464;-16.0;9.0;2038.0;-13.0;2.0;-3.0
866467;1.0;5.0;2054.0;-10.0;-3.0;-6.0
866471;3.0;3.0;2058.0;-2.0;6.0;0.0
866474;-7.0;7.0;2047.0;-1.0;0.0;-2.0
866478;-1.0;1.0;2041.0;-4.0;0.0;-4.0
866481;11.0;0.0;2064.0;-2.0;-1.0;-3.0
866485;2.0;7.0;2049.0;-1.0;1.0;-5.0
866488;-3.0;8.0;2043.0;-1.0;1.0;-3.0
866492;14.0;-1.0;2044.0;1.0;0.0;-5.0
866495;3.0;3.0;2041.0;1.0;0.0;1.0
866499;-2.0;4.0;2050.0;-3.0;1.0;-1.0
866502;-5.0;6.0;2051.0;-2.0;0.0;-1.0
866506;4.0;-6.0;2044.0;-3.0;0.0;-1.0
866509;4.0;3.0;2038.0;0.0;2.0;-5.0
866856;-186.0;-48.0;2025.0;-19.0;-2.0;97.0
866859;-194.0;-4.0;2043.0;-22.0;0.0;113.0
866863;-231.0;-39.0;2038.0;-28.0;-4.0;136.0
866866;-198.0;-39.0;2048.0;-22.0;-2.0;152.0
866870;-160.0;-56.0;2043.0;-25.0;-5.0;170.0
866873;-92.0;-64.0;2040.0;-21.0;-4.0;183.0
866877;-61.0;-50.0;2045.0;-23.0;-3.0;189.0
866880;-29.0;-46.0;2044.0;-23.0;0.0;193.0
866884;-35.0;-47.0;2052.0;-27.0;-5.0;198.0
866887;-29.0;-20.0;2056.0;-20.0;-7.0;211.0
866891;-58.0;-11.0;2037.0;-20.0;-4.0;221.0
866894;-67.0;11.0;2054.0;-28.0;-6.0;234.0
866898;-66.0;31.0;2043.0;-29.0;-3.0;233.0
866901;-67.0;18.0;2043.0;-23.0;-2.0;239.0
866905;-211.0;77.0;1984.0;-17.0;7.0;244.0
866908;-200.0;3.0;2096.0;-31.0;-4.0;248.0
866912;-231.0;-3.0;2012.0;-23.0;-1.0;274.0
866915;-290.0;-7.0;2012.0;-22.0;4.0;303.0
866919;-324.0;0.0;2046.0;-9.0;0.0;325.0
866922;-353.0;22.0;2044.0;-1.0;6.0;348.0
866926;-351.0;28.0;2035.0;-7.0;5.0;362.0
866929;-301.0;65.0;2043.0;-4.0;9.0;372.0
866933;-263.0;98.0;2035.0;-7.0;2.0;357.0
866936;-226.0;135.0;2038.0;-4.0;5.0;336.0
866940;-170.0;166.0;2054.0;-15.0;-1.0;310.0
866943;-205.0;124.0;2054.0;-6.0;3.0;282.0
866947;-197.0;123.0;2038.0;-5.0;5.0;252.0
866950;-207.0;99.0;2048.0;-4.0;4.0;238.0
866954;-173.0;99.0;2065.0;-15.0;3.0;223.0
866957;-87.0;65.0;2034.0;-28.0;-3.0;211.0
866961;-107.0;123.0;2046.0;-34.0;1.0;195.0
866964;-85.0;11.0;2051.0;-36.0;-3.0;180.0
866968;-104.0;-12.0;2052.0;-25.0;-7.0;188.0
866971;-153.0;20.0;2045.0;-26.0;0.0;204.0
866975;-149.0;0.0;2047.0;-22.0;1.0;213.0
866978;-104.0;-27.0;2063.0;-15.0;2.0;220.0
866982;-71.0;-1.0;2046.0;-12.0;-3.0;236.0
866985;-5.0;55.0;2047.0;-16.0;-2.0;227.0
866989;48.0;92.0;2054.0;-23.0;-4.0;202.0
866992;54.0;120.0;2056.0;-17.0;-1.0;160.0
866996;91.0;95.0;2055.0;-24.0;-2.0;129.0
866999;67.0;109.0;2051.0;-26.0;-5.0;114.0
867003;15.0;98.0;2047.0;-29.0;0.0;89.0
867006;-89.0;129.0;2027.0;-21.0;2.0;82.0
867010;-126.0;102.0;2010.0;3.0;4.0;65.0
867013;-145.0;96.0;2043.0;20.0;2.0;45.0
867017;-122.0;67.0;2073.0;19.0;4.0;14.0
867020;-110.0;70.0;2059.0;-4.0;-2.0;12.0
867024;-74.0;-6.0;2035.0;0.0;2.0;1.0
867027;-79.0;53.0;2016.0;-4.0;0.0;13.0
867031;-57.0;21.0;2097.0;2.0;0.0;-15.0
867034;3.0;-72.0;2042.0;-10.0;-1.0;1.0
867038;8.0;-39.0;2026.0;2.0;-3.0;17.0
867041;-54.0;100.0;2043.0;6.0;2.0;-19.0
867045;40.0;-148.0;2029.0;-5.0;0.0;-14.0
867048;-36.0;-78.0;2054.0;24.0;10.0;15.0
867052;-67.0;-54.0;2067.0;31.0;11.0;22.0
867055;-56.0;-2.0;2051.0;31.0;11.0;23.0
867059;-34.0;46.0;2066.0;36.0;10.0;-2.0
867062;15.0;25.0;2053.0;38.0;13.0;-37.0
867066;108.0;56.0;2076.0;16.0;9.0;-87.0
867069;201.0;-8.0;2052.0;8.0;5.0;-125.0
867073;249.0;-14.0;2028.0;8.0;1.0;-133.0
867076;367.0;-34.0;2036.0;3.0;3.0;-139.0
867080;451.0;-56.0;2046.0;-3.0;2.0;-137.0
867083;496.0;-80.0;2054.0;-24.0;-8.0;-125.0
867087;515.0;-118.0;2060.0;-18.0;0.0;-100.0
867090;536.0;-113.0;2056.0;-24.0;-5.0;-78.0
867094;530.0;-91.0;2055.0;-27.0;-4.0;-62.0
867097;474.0;-99.0;2025.0;-18.0;0.0;-59.0
867101;504.0;-75.0;2044.0;-22.0;-2.0;-55.0
867104;479.0;-57.0;2042.0;-22.0;-4.0;-67.0
867108;482.0;-10.0;2048.0;-27.0;1.0;-81.0
867111;454.0;-13.0;2043.0;-37.0;-3.0;-97.0
867115;449.0;-24.0;2044.0;-38.0;-4.0;-119.0
867118;423.0;-86.0;2058.0;-46.0;-7.0;-140.0
867122;346.0;-80.0;2054.0;-50.0;-6.0;-156.0
867125;281.0;-115.0;2050.0;-50.0;-7.0;-178.0
867129;235.0;-144.0;2036.0;-46.0;-5.0;-193.0
867132;185.0;-160.0;2040.0;-39.0;-5.0;-199.0
867136;154.0;-127.0;2037.0;-34.0;-3.0;-209.0
867139;143.0;-184.0;2054.0;-32.0;-4.0;-219.0
867143;135.0;-271.0;2044.0;-40.0;-9.0;-213.0
867146;101.0;-354.0;2038.0;-40.0;-14.0;-154.0
867150;71.0;-297.0;2053.0;-38.0;-12.0;-89.0
867153;35.0;-219.0;2050.0;-29.0;-9.0;-25.0
